Date,Target,VIX,S&P500__logdiff1,Nikkei225__logdiff1,TaiwanWeighted__logdiff1,USD_KRW__logdiff1,Dollar_Index__logdiff1
2023-05-02,1.0,15.77999973,,,,,
2023-05-03,0.0,17.78000069,-0.012040087647001485,0.0,-0.005326758430003409,-0.0003649709986479621,-0.0060994071439166575
2023-05-04,0.0,18.34000015,-0.007022908024550745,0.0,0.003569692764434862,-0.005281050337540449,0.0005919424129752215
2023-05-08,1.0,20.09000015,-0.0072449133819620926,-0.00716148749584633,0.005783732949717901,-0.013777526049878475,-0.00029588992057494323
2023-05-09,0.0,16.97999954,0.018758192748350666,0.010067995421367826,0.0017901584869282061,0.004129834586647618,0.0026599365193682445
2023-05-10,0.0,17.70999908,-0.004589938873403199,-0.0041340115416019785,-0.005479255625850499,0.002748780180073851,-0.001575384313555972
2023-05-11,0.0,16.94000053,0.004473942279542342,0.00015591745007270674,-0.008160174330789971,-0.0060512265913068575,0.005699083885026823
2023-05-12,0.0,16.93000031,-0.0016980650030724576,0.008940672526319915,-0.000791778743367999,0.008935307554963856,0.006056506804391404
2023-05-15,1.0,17.03000069,-0.001584561574356158,0.008067162603900613,-0.0017632563176590565,0.008714598006259067,-0.0024377175473651036
2023-05-16,1.0,17.12000084,0.0029537976728502002,0.007286153995890388,0.012767896840923498,-0.004572423951404225,0.0012683283941505863
2023-05-17,1.0,17.98999977,-0.006398107727781266,0.008362207853773285,0.01591148066511039,0.00525055432624999,0.0031152644737177937
2023-05-18,1.0,16.87000084,0.011820688818424685,0.015835487960885075,0.011027613741882547,-0.006187041800827409,0.0067810441284761325
2023-05-19,1.0,16.04999924,0.009400723025454027,0.00763806956489077,0.004525861617533877,0.0004421058990926596,-0.0036754553649149813
2023-05-22,1.0,16.80999947,-0.001446914066935534,0.008998200644189325,0.00036900514294480047,-0.007920483080371632,0.0
2023-05-23,1.0,17.20999908,0.00015502283634383218,-0.004159942597285138,0.00044120224792543183,-0.007869523506457199,0.0028061463795632235
2023-05-24,0.0,18.53000069,-0.011285468843158952,-0.008925686616413131,-0.001775104731853716,0.004563989118125278,0.003857671918835237
2023-05-25,0.0,20.03000069,-0.007345512739275861,0.003853089634073825,0.008177197602517339,-0.0010005807525335086,0.0030754440608280476
2023-05-26,1.0,19.13999939,0.008719456132496362,0.0037324886154426196,0.012992252157697948,0.009337992023220387,0.0
