Target,Open,Return,Volatility_20,RSI_14,MACD_Signal
0,3163.209961,0.0008887585000000001,0.010631608,51.96724936,0.0
1,3135.379883,0.012292162,0.010631608,51.96724936,0.614724114
0,3174.530029,-0.003394217,0.010631608,51.96724936,1.409290088
0,3171.909912,-0.001853127,0.010631608,51.96724936,2.178218345
0,3155.909912,-0.003839753,0.010631608,51.96724936,2.692438793
1,3152.929932,0.008593334,0.010631608,51.96724936,3.445009052
0,3171.909912,-0.000911336,0.010631608,51.96724936,4.253559064
0,3170.840088,-0.000921567,0.010631608,51.96724936,4.998530202
1,3172.090088,0.007335302,0.010631608,51.96724936,6.023667126
1,3192.060059,0.004763634,0.010631608,51.96724936,7.399284652
1,3207.120117,0.005602573,0.010631608,51.96724936,9.191984903
1,3224.399902,0.000732451,0.010631608,51.96724936,11.16882806
1,3224.959961,0.007195501,0.010631608,51.96724936,13.5021447
0,3246.169922,-0.002263283,0.010631608,77.86992394,15.78853895
1,3244.590088,0.00371597,0.010631608,79.19276717,18.08177311
0,3251.830078,-0.001319151,0.010631608,72.36513335,20.14942219
0,3245.080078,-0.009745013,0.010631608,64.33050238,21.41640511
1,3216.939941,0.002630438,0.010631608,67.89048625,22.20129008
1,3226.97998,0.007653622,0.010631608,75.83896971,22.98601698
1,3249.600098,0.000864739,0.010631608,72.57131167,23.72194729
1,3253.169922,0.00199869,0.005251677,74.69609404,24.43835075
1,3259.060059,0.006152908,0.004780218,78.32789033,25.36914698
0,3276.199951,-0.004184602,0.004827282,70.03416044,26.10881103
1,3265.679932,0.00090965,0.004762365,67.97730698,26.67777961
0,3264.179932,-0.008304919,0.005131218,55.05286548,26.6161281
1,3245.790039,0.007124758,0.005035369,59.53353167,26.47016946
1,3265.72998,0.003771603,0.005029061,57.29727922,26.41508905
1,3281.469971,0.003024903,0.004999199,61.52689924,26.51776218
1,3289.179932,0.005094181,0.004895387,62.41189158,26.92056731
0,3305.459961,-0.00028769,0.00486275,63.44903822,27.41385642
0,3305.26001,-0.004606441,0.004946622,69.10154576,27.63285233
1,3288.629883,0.003042584,0.004966983,69.35726806,27.76500976
0,3297.919922,-0.004434726,0.004899845,59.30008863,27.53927699
0,3282.810059,-8.53e-05,0.004858436,58.5452038,27.03382357
1,3285.290039,0.003482845,0.004850984,59.69064378,26.50028571
1,3295.439941,0.003643861,0.004872819,57.78600959,26.10816747
0,3303.590088,-0.006011683,0.004497395,55.77276028,25.44872579
0,3287.679932,-0.00994118,0.005109884,46.30231248,24.07722346
0,3245.52002,-0.010677343,0.005391279,44.65854007,21.72233831
1,3227.51001,0.008862792,0.005776164,46.02930843,19.2800455
1,3253.23999,0.007672922,0.006016402,48.96258962,17.26447624
0,3270.090088,-0.002008273,0.005867051,45.34113906,15.47786157
1,3269.330078,0.006557782,0.00597343,46.43589362,14.23471397
0,3282.889893,-0.00283306,0.006012739,44.82857963,13.2163885
0,3258.870117,-0.010030753,0.00615296,41.7740597,11.83781705
0,3223.23999,-0.003495668,0.005967555,37.72069408,10.09781212
0,3251.129883,-0.005193813,0.005968913,37.40907101,7.931591414
1,3235.169922,0.010665737,0.006454612,44.67997397,6.140943319
1,3253.439941,0.001295289,0.006335195,43.30027409,4.732736612
0,3265.98999,-0.009055368,0.006602772,36.92662174,3.157094245
1,3244.429932,0.002350448,0.006595554,41.0391162,1.67284429
1,3226.060059,0.001339532,0.006553909,47.03014314,0.388955281
1,3248.48999,0.001788707,0.006525375,55.2021876,-0.610561498
0,3234.370117,-0.012437308,0.007044648,41.1420096,-2.021490304
1,3218.419922,0.0064703,0.007179158,40.13551216,-3.281138562
1,3221.570068,0.004374706,0.00720611,44.52183446,-4.147500954
1,3246.649902,0.013357467,0.007772689,48.93576507,-4.022621453
0,3283.25,-0.001295582,0.007424268,49.85518519,-3.341635026
0,3277.060059,-0.001761156,0.006976191,55.43310309,-2.432227119
0,3258.100098,-0.003039477,0.006759853,55.75533989,-1.580368038
0,3272.439941,-0.005284589,0.006629443,55.65366895,-1.080527602
0,3235.360107,-0.006959144,0.006783214,43.55423378,-1.185153718
0,3213.580078,-0.003800583,0.006595678,40.30979072,-1.855747669
0,3205.75,-0.011560303,0.006991623,39.05701241,-3.433442823
0,3169.73999,-0.008892265,0.006922957,33.17528754,-5.939074291
1,3141.97998,0.005039577,0.007059714,35.9488598,-8.628717113
0,3140.01001,-0.019341946,0.008136944,28.23038326,-12.24784505
0,3111.100098,-0.012047164,0.007885609,28.48816366,-16.82734017
1,3086.810059,0.009704249,0.008334649,30.38478234,-21.25651183
1,3119.699951,0.015562078,0.009097476,36.73574097,-24.54358202
1,3148.129883,0.002711662,0.009105562,30.23235479,-26.75077945
0,3151.300049,-0.005809067,0.009135362,29.02694028,-28.39610538
1,3116.290039,0.00171642,0.009133926,30.58775642,-29.45261677
1,3160.870117,0.003283461,0.008827768,33.48206293,-29.85338652
1,3144.48999,0.01751805,0.009610017,44.36461236,-28.8753287
1,3195.669922,0.002422428,0.00956932,48.18597575,-26.89486045
0,3198.030029,-0.009719279,0.00920847,45.86964851,-24.82591925
1,3189.709961,0.00793802,0.009452167,53.89752107,-22.35118874
1,3196.300049,0.000709146,0.009460013,58.4611544,-19.6646871
0,3200.070068,-0.004966755,0.00949148,54.00084066,-17.19529973
0,3178.73999,-0.007664485,0.009561676,60.20099665,-15.34201846
0,3146.639893,-0.015267212,0.010001181,58.20189578,-14.70752443
1,3121.090088,0.003550923,0.010053537,55.70241979,-14.66022567
1,3117.350098,0.000671868,0.009760746,48.03553873,-14.91652954
1,3137.320068,0.006704255,0.009690956,50.36307755,-14.98112837
1,3147.209961,0.001451277,0.009627877,54.70183306,-14.81512992
0,3165.379883,-0.007391963,0.008674165,49.32548146,-14.85142727
1,3127.75,0.003328953,0.008162171,49.3487764,-14.81252377
0,3123.639893,-0.004117144,0.007998752,35.08880439,-14.90105399
0,3140.72998,-0.00074821,0.007196759,32.59849326,-15.06818851
1,3121.699951,0.002687762,0.007196253,40.05460124,-15.10747023
0,3133.399902,-0.011398875,0.007530533,26.84530726,-15.60001538
0,3055.5,-0.012153285,0.007949238,22.28588239,-16.91596383
1,3054.870117,0.002793887,0.00793554,26.34998622,-18.5040554
0,3056.209961,-0.016175643,0.0073357,23.94270497,-20.92927552
0,2998.169922,-0.018882614,0.008053921,23.20929463,-24.61391691
0,2986.060059,-0.01818257,0.008589851,16.79844034,-29.69798673
1,2936.870117,0.0175875,0.009521958,27.63724831,-34.50892129
0,2977.820068,-0.001067733,0.009484669,23.1634965,-38.86822458
0,2950.219971,-0.013503422,0.009723558,19.92586434,-43.26424663
1,2913.340088,0.009611241,0.010175278,26.71895835,-46.90702583
1,2968.870117,0.015021679,0.010572682,32.44640745,-49.07415241
1,3012.620117,0.008840197,0.01078275,37.3879125,-49.6693959
0,3017.47998,-0.002779423,0.010768686,36.88843362,-49.26870332
1,3022.22998,0.00743681,0.010800646,38.7787739,-47.79574647
0,3043.129883,-0.005252541,0.010794128,40.50015209,-45.87283106
0,3012.280029,-0.001924844,0.010726012,43.61277339,-43.75667179
0,3005.360107,-0.000389105,0.010660954,42.30295855,-41.54926257
1,3001.100098,0.004783554,0.010760941,50.18291806,-39.07624999
1,3039.820068,0.009448654,0.011045937,62.65765894,-36.02199946
0,3045.830078,-0.007736789,0.011097929,68.71640092,-33.05781373
0,3023.169922,-0.005268549,0.010897588,59.01449479,-30.48443342
0,3025.669922,-0.012915591,0.010939071,52.29314222,-28.84157303
1,2984.179932,0.002780512,0.010938798,61.09689724,-27.67054656
1,2995.580078,0.011598102,0.010722618,61.97639868,-26.24235097
0,3020.360107,-0.012536969,0.010206857,47.70705992,-25.2707818
1,3000.919922,0.002523771,0.009227408,43.94768961,-24.45893344
0,3003.530029,-0.004676139,0.00848388,43.03640424,-23.9565699
0,2965.360107,-0.003054646,0.008510758,36.51889045,-23.76462594
1,2958.149902,0.000763465,0.007879929,39.51673028,-23.68708745
0,2947.459961,-0.010899739,0.008011512,35.61307227,-24.14650185
0,2911.409912,-0.001791705,0.007175848,35.07936978,-24.94711057
1,2945.949951,0.015002164,0.007725225,41.4264088,-25.16266275
1,2989.679932,0.010347605,0.008090933,41.84653993,-24.45274322
0,2995.679932,-0.000770143,0.007894706,44.9971711,-23.18109401
0,3004.02002,-0.011607475,0.008220502,42.18381171,-22.12624581
0,2959.26001,-0.005076944,0.008272599,45.80421825,-21.45210602
1,2951.060059,0.008020729,0.008514108,48.64866441,-20.62586815
1,2983.379883,0.014213967,0.009062242,49.96009745,-19.0268457
0,3013.159912,-0.005283306,0.008842545,53.87651329,-17.23790728
0,3006.340088,-0.001014249,0.008692422,52.01721145,-15.43292568
0,2996.73999,-0.004682252,0.008676408,52.00393172,-13.9010151
0,2973.040039,-0.014706747,0.008822521,46.15807928,-13.28816552
0,2906.149902,-0.00923563,0.008991342,42.04683888,-13.68588746
0,2932.709961,-0.024167179,0.009871942,37.75062774,-15.78672983
1,2860.120117,0.021384201,0.010965454,47.05305298,-17.84035234
1,2874.639893,0.01570843,0.011576805,47.25904329,-18.98933788
1,2935.929932,0.007829523,0.011683259,46.30074267,-19.09989245
1,2954.820068,0.001657471,0.011666175,47.17573306,-18.43175617
1,2973.840088,0.006212048,0.01174241,53.59192384,-16.97388905
1,3017.929932,0.003369325,0.011440156,56.753555,-14.89794907
1,3007.0,0.009251122,0.011552226,57.19235003,-12.0664273
0,3008.699951,-0.006383773,0.01125562,49.60691174,-9.190812544
0,3019.669922,-0.002846981,0.011047317,50.57456816,-6.554088346
0,2983.949951,-0.00456746,0.011094645,49.18184012,-4.409113887
1,2979.830078,0.000481916,0.010758159,51.2163719,-2.651779058
1,3013.26001,0.005693476,0.010735558,60.05113296,-0.951943221
1,2985.199951,0.003765311,0.010631608,66.31351402,0.805519907
0,3001.330078,-0.018136142,0.010957817,69.57591297,1.631952768
1,2981.669922,0.004060084,0.010957116,64.04984651,2.019723459
1,2993.5,0.003176422,0.010984169,58.45369637,2.258386713
1,2998.02002,0.004587044,0.010978571,56.70437641,2.604348892
1,3009.47998,0.004756238,0.010418122,58.44831598,3.221002338
0,3013.939941,-0.004275579,0.010209568,51.73009783,3.762161511
1,3006.77002,0.006897682,0.008221974,53.89192676,4.549155081
0,3002.899902,-0.008923116,0.007462509,42.3161524,5.00863821
0,2999.75,-0.005225066,0.006832804,42.98990994,4.977812328
1,2991.969971,0.003892361,0.006668218,47.36195263,4.814853843
0,2984.050049,-0.011798992,0.007194,43.38807876,4.003933167
0,2925.399902,-0.011320339,0.007425772,38.08487808,2.286751636
1,2933.780029,0.011764941,0.007913295,41.58993595,0.634540433
0,2947.370117,-0.009533324,0.007778187,35.91828779,-1.341217883
1,2930.929932,0.000225478,0.007709327,43.38111872,-3.402611326
1,2950.780029,0.015406302,0.008550266,49.5780156,-4.682316599
0,2979.909912,-0.003495362,0.008526523,46.30639049,-5.560083329
0,2937.610107,-0.013561426,0.009018277,38.43188994,-6.768127766
0,2918.550049,-0.01089004,0.009122391,32.37980565,-8.612096966
0,2898.97998,-0.008947824,0.00914615,31.21266974,-11.15094177
0,2840.340088,-0.007666942,0.008470943,25.37771616,-14.31717381
1,2842.280029,0.007177302,0.00861615,31.59538814,-17.35256063
0,2837.48999,-0.009917243,0.008707511,30.49947994,-20.56021036
0,2823.76001,-0.014920858,0.008959466,25.23849835,-24.33553286
0,2786.409912,-0.025648319,0.010030586,23.12821803,-29.35578483
0,2729.75,-0.004098641,0.010031424,24.37850154,-35.00414699
0,2709.23999,-0.034972908,0.011719202,13.99558944,-42.18199935
1,2617.870117,0.01868437,0.013039294,23.30969447,-49.06671556
1,2706.340088,0.016700826,0.013970244,29.56518499,-54.58530644
1,2714.830078,0.015673102,0.01458002,29.21467676,-58.15682733
0,2750.699951,-0.001890713,0.014472878,29.5010974,-60.27114847
1,2767.76001,0.000513618,0.014383214,32.11918964,-61.20142436
1,2772.629883,0.008148688,0.014210963,37.4005009,-60.84424474
1,2787.439941,0.001112315,0.014161405,39.93104895,-59.51102361
0,2739.139893,-0.008737584,0.014205939,39.73514181,-57.88670605
0,2715.100098,-0.015733094,0.013776996,33.63944347,-56.72285787
0,2712.449951,-0.010330985,0.01383071,33.67077923,-56.22511641
1,2719.610107,0.01985395,0.014719749,43.69076355,-55.1950058
1,2735.110107,0.005279064,0.014728742,52.7136819,-53.5295104
1,2714.52002,0.000156675,0.014661525,54.14124011,-51.42421227
0,2706.649902,-0.00026233,0.014607239,69.47853167,-49.04789804
0,2705.080078,-0.013488596,0.014676763,56.78715448,-47.1049695
1,2727.429932,0.004706678,0.014666118,52.03051444,-45.22490937
0,2689.280029,-0.026008163,0.0153932,33.97863921,-44.50818863
1,2678.469971,0.010555708,0.014622879,39.93810878,-44.01067014
1,2663.0,0.008375768,0.014739535,43.43940476,-43.21861815
1,2698.310059,0.001607928,0.0121563,40.45913063,-42.11573139
1,2729.860107,0.016112349,0.011983928,46.75462152,-40.084869
0,2736.580078,-0.012249423,0.011818714,45.63066856,-38.02433754
0,2680.169922,-0.022893487,0.012315072,43.53431282,-36.95764769
0,2617.330078,-0.010904102,0.01248332,43.43182914,-36.94680684
1,2660.860107,0.022086702,0.013596816,44.08042134,-36.59002832
0,2665.949951,-0.007103644,0.013472714,40.17791471,-36.25550232
0,2654.929932,-0.005873161,0.013479089,38.68116695,-36.1191961
0,2630.310059,-0.009116805,0.013488986,36.71412412,-36.41677113
1,2649.850098,0.014380896,0.013583573,44.83985501,-36.28621324
1,2703.27002,0.013267009,0.013733585,47.41197398,-35.24857813
1,2695.639893,0.004642777,0.013012833,56.84682424,-33.41687059
0,2717.810059,-0.007746515,0.01303986,51.11079584,-31.44187479
1,2686.679932,0.00891642,0.013227435,51.28902276,-29.02683137
1,2727.120117,0.00924356,0.013409399,53.57961906,-25.99675826
0,2716.25,-0.001970763,0.013044182,47.83460803,-22.76678251
1,2740.830078,0.000117256,0.013005326,52.24309871,-19.52383573
0,2721.219971,-0.000153819,0.011412926,62.73556941,-16.40496041
1,2745.620117,0.0042168,0.011237181,70.47376592,-13.30632157
